title,year
"ZYGAROWSKI, JOSEPH",2023
"ZWOLINSKI, MIKE",2023
"ZVARYCHUK, TETYANA",2023
"ZUCKERMAN, JACK",2023
"ZRINYI, KRIS",2023
"ZRAICK, KAREN",2023
"ZOVIA, INC.",2023
"ZONOU, KANKO",2023
"ZOLLER, MARTHA",2023
"ZOGBY, JOE",2023
"ZOBERMAN, ISRAEL",2023
"ZINKE, RYAN K. (a Representative from Montana)",2023
"ZIMMERMAN, MITCH AND LILLY",2023
"ZIMMER, ROBERT",2023
"ZIMBABWE, REPUBLIC OF",2023
"ZILLAH, WA",2023
"ZILKA, GREGORY J.",2023
"ZIEGLER, LAUREN",2023
"ZICKERT, MARTIN J.",2023
"ZHU, RICHARD",2023
"ZHU, KEVIN",2023
"ZHU, JUNE",2023
"ZF GAINESVILLE, LLC",2023
"ZETA PHI BETA SORORITY, INC.",2023
ZERO FOOD WASTE ACT,2023
"ZERMENO, ANDRES",2023
"ZEREBNY, LESLEY",2023
"ZEPEDA, EVAN",2023
"ZEN, JOSEPH",2023
"ZELLMANN, RICHARD L.",2023
"ZELEZNY, LYNETTE",2023
"ZELENSKY, VOLODYMYR (President, Ukraine)",2023
"ZELENKO, BENJAMIN",2023
"ZELE, ADAM",2023
"ZELAYA, WILLIAM J. TREJOS",2023
"ZELAYA, JOSÉ A. QUINTERO",2023
"ZEITHAMEL, ADAM",2023
"ZAREMBERG, ALLAN",2023
"ZAPATA COUNTY, TX",2023
"ZANDI, MARK",2023
"ZAMORE, MICHAEL",2023
"ZAMBIA, REPUBLIC OF",2023
"ZAKHEIM, ROGER I.",2023
"ZAHNER, WARREN",2023
"ZAHASKY, MARY",2023
"ZAH, PETERSON",2023
"ZACHERL, EMMA",2023
"ZACHARIE, KENNETH",2023
"YUN, HANNA",2023
"YUMA COUNTY, AZ",2023
"YUENGLING & SON, INC.",2023
"YSLAS, ADA MUNOZ",2023
"YPSILANTI, MI",2023
YOUTHBUILD FOR THE FUTURE ACT,2023
YOUTH WORKFORCE READINESS ACT,2023
YOUTH see Children and Youth,2023
YOUTH POISONING PROTECTION ACT,2023
"YOUTH, PEACE, AND SECURITY ACT",2023
YOUTH MENTAL HEALTH DATA ACT,2023
YOUTH COASTAL FISHING PROGRAM ACT,2023
"YOUSCHAK-THOMPSON, PAIGE",2023
"YOUNGER, IRVING",2023
YOUNG WOMEN’S CHRISTIAN ASSOCIATION,2023
"YOUNG, TODD (a Senator from Indiana)",2023
YOUNG MEN’S CHRISTIAN ASSOCIATION,2023
"YOUNG-McLEAR, KIMBERLY",2023
YOUNG MARINES (organization),2023
"YOUNG, HELEN MULRENNAN",2023
"YOUNG, FORREST O.",2023
"YOUNG, DON (a former Representative from Alaska)",2023
"YOUNG, COLEMAN A.",2023
"YOUNG, CHARLES",2023
"YOUNG, BEN",2023
YOUNG AUDIENCES ARTS FOR LEARNING (organization),2023
"YOUNG, AMBER",2023
YOUNG AFRICAN LEADERS INITIATIVE (YALI) ACT,2023
"YOST, LEONA WHITING",2023
"YORK COUNTY, PA",2023
"YORIO, FRANKLIN",2023
"YORBA LINDA, CA",2023
"YOON SUK YEOL (President, Republic of Korea)",2023
"YOON, DAVID",2023
"YON, HUGO Y.",2023
"YOLO COUNTY, CA",2023
"YOES, PATRICK",2023
"YIN, CC AND REGINA",2023
"YIN, AN",2023
YES IN MY BACKYARD ACT,2023
"YEONOPOLUS, JIM",2023
"YEOL, YOON SUK (President, South Korea)",2023
"YEMEN, REPUBLIC OF",2023
YELP (Internet site),2023
